AIN0,AIN1,AIN2,AIN3
4985.0,9658.0,3974.0,1897.0
1617.0,8083.0,5016.0,5185.0
2766.0,3023.0,3178.0,6540.0
1841.0,2025.0,6088.0,3509.0
6435.0,2832.0,5913.0,5229.0
4910.0,1554.0,162.0,8525.0
4085.0,1316.0,8478.0,532.0
9994.0,619.0,5413.0,4398.0
7033.0,7991.0,3176.0,2665.0
5575.0,9530.0,1935.0,198.0
1414.0,6692.0,9835.0,8100.0
4125.0,7586.0,4708.0,7412.0
7218.0,3736.0,7238.0,3548.0
5974.0,3265.0,7635.0,6797.0
609.0,6319.0,4262.0,1518.0
846.0,5188.0,4654.0,9605.0
2108.0,5013.0,3592.0,6369.0
2314.0,3034.0,5548.0,2553.0
2796.0,2196.0,162.0,731.0
8144.0,4701.0,396.0,7343.0
3096.0,7209.0,1747.0,14.0
7324.0,1992.0,5020.0,4169.0
3298.0,4299.0,2657.0,6307.0
7619.0,1856.0,373.0,5181.0
7994.0,9424.0,965.0,3576.0
7342.0,5228.0,5115.0,2059.0
9307.0,4902.0,5996.0,9521.0
6883.0,6809.0,3836.0,2031.0
1279.0,54.0,9759.0,3388.0
924.0,3018.0,7828.0,3377.0
6943.0,8222.0,914.0,767.0
2649.0,68.0,7518.0,4367.0
1993.0,6222.0,2656.0,3509.0
317.0,5975.0,2426.0,1678.0
8305.0,4387.0,5047.0,6268.0
3040.0,3681.0,1671.0,2330.0
3486.0,736.0,5534.0,5057.0
2552.0,1100.0,3748.0,1829.0
2958.0,817.0,6435.0,5683.0
1852.0,9750.0,2206.0,7593.0
1918.0,5027.0,1646.0,9409.0
